latitude,longitude,utm_easting,utm_northing,utm_zone_number
37.28865516,127.10730509831528,332225.9925539853,4128573.775786283,52S
37.28864946,127.10730279831529,332225.7759937009,4128573.1474253586,52S
37.288644139999995,127.10730139831529,332225.64006392984,4128572.5596299614,52S
37.288638819999996,127.10730039831526,332225.53959477803,4128571.971124636,52S
37.28863045,127.10729989831526,332225.47667631466,4128571.043319406,52S
37.28862133,127.10729899831526,332225.37663118745,4128570.03300792,52S
37.28861563,127.10729759831528,332225.23985724413,4128569.4030496636,52S
37.288609169999994,127.10729569831528,332225.0570692394,4128568.6896530865,52S
37.28860390999999,127.10729559831529,332225.03651977726,4128568.106207714,52S
37.288600579999994,127.10729479831528,332224.9582013703,4128567.7381477104,52S
37.28859584999999,127.10729459831528,332224.9299640551,4128567.2136859284,52S
37.28859148,127.10729369831527,332224.8404702679,4128566.7304102997,52S
37.28858798000001,127.10729219831528,332224.6997180565,4128566.3447303474,52S
37.28858536,127.10729149831525,332224.6318419484,4128566.055270854,52S
37.28858063,127.10728869831527,332224.3731102905,4128565.5354236476,52S
37.28857536999999,127.10728609831529,332224.13093161344,4128564.956415373,52S
37.28857047,127.10728499831528,332224.02253010985,4128564.4146886165,52S
37.28856679,127.10728269831526,332223.8104566366,4128564.010456665,52S
37.288563999999994,127.10728119831529,332223.67128151155,4128563.703554717,52S
37.28856154,127.10727829831528,332223.40872706217,4128563.4357526796,52S
37.28855979,127.10727509831528,332223.1211542658,4128563.2472610925,52S
37.28855803999999,127.1072715983153,332222.80698594725,4128563.0593019715,52S
37.28855559,127.10726879831527,332222.5533188332,4128562.7924320227,52S
37.2885535,127.10726599831528,332222.3004514029,4128562.5655058506,52S
37.288551039999994,127.10726319831527,332222.0467620443,4128562.2975263665,52S
37.28854894,127.10726019831527,332221.7761420317,4128562.069845632,52S
37.28854684,127.10725689831527,332221.47892649134,4128561.842697366,52S
37.288544740000006,127.10725349831527,332221.1728457643,4128561.6157265967,52S
37.28854316,127.10724939831529,332220.8058639536,4128561.4476948055,52S
37.28854194,127.1072463983153,332220.5371987151,4128561.317654435,52S
37.28854037,127.1072430983153,332220.2411604598,4128561.149312316,52S
37.28853931,127.1072391983153,332219.8930640855,4128561.0386221423,52S
37.28853791,127.1072298983153,332219.0654931562,4128560.899791716,52S
37.28854211,127.10726879831527,332222.52337465517,4128561.2967597707,52S
37.28853791,127.10728849831528,332224.2604836476,4128560.7957846583,52S
37.28853475999999,127.10730229831526,332225.47688008944,4128560.4217840177,52S
37.28853195999999,127.10731289831527,332226.4103685879,4128560.0922971778,52S
37.28852864000001,127.10732569831525,332227.5377358651,4128559.7012093244,52S
37.28852355,127.10733839831528,332228.65230637987,4128559.113908907,52S
37.28852058,127.10734859831528,332229.5499568222,4128558.766270007,52S
37.28851857,127.10735699831528,332230.29016662843,4128558.5283425106,52S
37.28851678000001,127.1073627983153,332230.80037063244,4128558.3194395546,52S
37.28851992,127.10734289831528,332229.04317588644,4128558.703156027,52S
37.28852172,127.10733259831528,332228.1340613591,4128558.921155212,52S
37.28852598,127.1073117983153,332226.29956816335,4128559.43073909,52S
37.2885298,127.10729629831526,332224.93395191,4128559.882096605,52S
37.28853675999999,127.10728049831528,332223.5487153622,4128560.6823852314,52S
37.28854034999999,127.10727689831528,332223.2375438965,4128561.0871028206,52S
37.288542590000006,127.10727579831527,332223.14500288124,4128561.3375941645,52S
37.28854529,127.10727379831525,332222.97369716456,4128561.6407221337,52S
37.28854798,127.1072726983153,332222.88215578697,4128561.941143191,52S
37.28855157999999,127.1072715983153,332222.7926358634,4128562.34253322,52S
37.28855763,127.10727019831526,332222.68196281337,4128563.0162952524,52S
37.28856414,127.10727049831529,332222.7230194855,4128563.7380792922,52S
37.28856929999999,127.1072715983153,332222.8319986372,4128564.3086543153,52S
37.28857581,127.1072724983153,332222.9262462994,4128565.0293734465,52S
37.28858098,127.10727299831528,332222.98205664114,4128565.602122932,52S
37.288585690000005,127.10727379831525,332223.0634406406,4128566.123300702,52S
37.2885895,127.10727549831526,332223.2226118898,4128566.5430216836,52S
37.28859376999999,127.10727769831529,332223.4271307809,4128567.012894503,52S
37.28859916,127.1072796983153,332223.61640725215,4128567.607391804,52S
37.288603869999996,127.10728079831524,332223.72438669234,4128568.128037126,52S
37.28860993,127.10728379831528,332224.00380306994,4128568.7950993837,52S
37.28861553999999,127.10728709831528,332224.3088152786,4128569.4116994827,52S
37.28862048,127.10728829831527,332224.42617073684,4128569.95768696,52S
37.28862631,127.10728959831529,332224.55436835624,4128570.6022468293,52S
37.28863148,127.10729189831528,332224.7697514669,4128571.171801622,52S
37.28863753,127.1072937983153,332224.9516287033,4128571.8397066775,52S
37.28864426999999,127.10729569831528,332225.13503864466,4128572.584170627,52S
